PID,PI_S1_R3_20_5_A,PI_S1_R3_I31_7_A,PI_S1_R3_14_1_A,PI_S1_R2_6_1_E,PI_S1_R2_7_2_E,PI_S1_R2_9_2_E,PI_S1_R3_I23_3_J,PI_S1_R3_I23_3_E,PI_S1_R2_10_1_E,PI_S1_R3_I24_3_E,PI_S1_R3_I26_2_A,PI_S1_R2_13_1_J,PI_S1_R3_3_3_A,PI_S1_R3_I41_2_E,PI_S1_R3_4_2_E,PI_S1_R2_14_1_J,PI_S1_R3_15_2_E,PI_S1_R3_3_2_A,manipulation_check_1,PII_S2_R3_I40_3_E,PII_S2_R3_4_1_A,PII_S2_R3_5_4_E,PII_S2_R3_20_3_E,PII_S2_R3_I33_1_A,PII_S2_R3_17_2_A,PII_S2_R3_22_3_E,PII_S2_R2_8_2_E,PII_S2_R2_21_3_J,PII_S2_R3_13_2_E,PII_S2_R3_I30_2_A,PII_S2_R3_10_3_J,PII_S2_R3_5_7_E,PII_S2_R3_13_2_J,PII_S2_R3_6_2_A,PII_S2_R3_I40_1_A,PII_S2_R3_2_1_A,PII_S2_R3_I23_2_J,manipulation_check_2,PIII_S3_R2_20_1_J,PIII_S3_R3_12_2_E,PIII_S3_R3_I35_2_E,PIII_S3_R3_I32_3_A,PIII_S3_R3_24_3_A,PIII_S3_R2_6_2_E,PIII_S3_R3_I26_1_A,PIII_S3_R3_11_5_A,PIII_S3_R3_I38_4_E,PIII_S3_R3_5_6_E,PIII_S3_R3_19_3_E,PIII_S3_R3_10_3_E,PIII_S3_R3_16_1_A,PIII_S3_R3_6_1_J,PIII_S3_R3_I36_6_A,PIII_S3_R3_5_1_J,PIII_S3_R3_6_2_E,PIII_S3_R3_12_1_J,manipulation_check_3,PII_S3_R2_20_1_J,PII_S3_R3_12_2_E,PII_S3_R3_I35_2_E,PII_S3_R3_I32_3_A,PII_S3_R3_24_3_A,PII_S3_R2_6_2_E,PII_S3_R3_I26_1_A,PII_S3_R3_11_5_A,PII_S3_R3_I38_4_E,PII_S3_R3_5_6_E,PII_S3_R3_19_3_E,PII_S3_R3_10_3_E,PII_S3_R3_16_1_A,PII_S3_R3_6_1_J,PII_S3_R3_I36_6_A,PII_S3_R3_5_1_J,PII_S3_R3_6_2_E,PII_S3_R3_12_1_J,manipulation_check_3,PIII_S2_R3_I40_3_E,PIII_S2_R3_4_1_A,PIII_S2_R3_5_4_E,PIII_S2_R3_20_3_E,PIII_S2_R3_I33_1_A,PIII_S2_R3_17_2_A,PIII_S2_R3_22_3_E,PIII_S2_R2_8_2_E,PIII_S2_R2_21_3_J,PIII_S2_R3_13_2_E,PIII_S2_R3_I30_2_A,PIII_S2_R3_10_3_J,PIII_S2_R3_5_7_E,PIII_S2_R3_13_2_J,PIII_S2_R3_6_2_A,PIII_S2_R3_I40_1_A,PIII_S2_R3_2_1_A,PIII_S2_R3_I23_2_J,manipulation_check_2,PI_S2_R3_I40_3_E,PI_S2_R3_4_1_A,PI_S2_R3_5_4_E,PI_S2_R3_20_3_E,PI_S2_R3_I33_1_A,PI_S2_R3_17_2_A,PI_S2_R3_22_3_E,PI_S2_R2_8_2_E,PI_S2_R2_21_3_J,PI_S2_R3_13_2_E,PI_S2_R3_I30_2_A,PI_S2_R3_10_3_J,PI_S2_R3_5_7_E,PI_S2_R3_13_2_J,PI_S2_R3_6_2_A,PI_S2_R3_I40_1_A,PI_S2_R3_2_1_A,PI_S2_R3_I23_2_J,manipulation_check_2,PII_S1_R3_20_5_A,PII_S1_R3_I31_7_A,PII_S1_R3_14_1_A,PII_S1_R2_6_1_E,PII_S1_R2_7_2_E,PII_S1_R2_9_2_E,PII_S1_R3_I23_3_J,PII_S1_R3_I23_3_E,PII_S1_R2_10_1_E,PII_S1_R3_I24_3_E,PII_S1_R3_I26_2_A,PII_S1_R2_13_1_J,PII_S1_R3_3_3_A,PII_S1_R3_I41_2_E,PII_S1_R3_4_2_E,PII_S1_R2_14_1_J,PII_S1_R3_15_2_E,PII_S1_R3_3_2_A,manipulation_check_1,PIII_S1_R3_20_5_A,PIII_S1_R3_I31_7_A,PIII_S1_R3_14_1_A,PIII_S1_R2_6_1_E,PIII_S1_R2_7_2_E,PIII_S1_R2_9_2_E,PIII_S1_R3_I23_3_J,PIII_S1_R3_I23_3_E,PIII_S1_R2_10_1_E,PIII_S1_R3_I24_3_E,PIII_S1_R3_I26_2_A,PIII_S1_R2_13_1_J,PIII_S1_R3_3_3_A,PIII_S1_R3_I41_2_E,PIII_S1_R3_4_2_E,PIII_S1_R2_14_1_J,PIII_S1_R3_15_2_E,PIII_S1_R3_3_2_A,manipulation_check_1,PI_S3_R2_20_1_J,PI_S3_R3_12_2_E,PI_S3_R3_I35_2_E,PI_S3_R3_I32_3_A,PI_S3_R3_24_3_A,PI_S3_R2_6_2_E,PI_S3_R3_I26_1_A,PI_S3_R3_11_5_A,PI_S3_R3_I38_4_E,PI_S3_R3_5_6_E,PI_S3_R3_19_3_E,PI_S3_R3_10_3_E,PI_S3_R3_16_1_A,PI_S3_R3_6_1_J,PI_S3_R3_I36_6_A,PI_S3_R3_5_1_J,PI_S3_R3_6_2_E,PI_S3_R3_12_1_J,manipulation_check_3,education,field,field_6_TEXT,gender,gender_5_TEXT,birth_year,location,info_search,info_search_service,chatbots,social_orientation_1,social_orientation_2
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,,TRANSLATED,,ORIGINAL,,ORIGINAL,TRANSLATED,TRANSLATED,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,TRANSLATED,,,,,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,,,ORIGINAL,,,ORIGINAL,,TRANSLATED,I don't know,Some college but no degree,Arts and Humanities,,Male,,1999,"Chicago, Illinois",Yes,I have never used assistance services when traveling,One,Neither agree nor disagree,Neither agree nor disagree
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,,,TRANSLATED,,,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,ORIGINAL,,,,ORIGINAL,,,TRANSLATED,ORIGINAL,,ORIGINAL,,TRANSLATED,TRANSLATED,TRANSLATED,I don't know,Master's degree,STEM,,Male,,1982,"Greenville, SC",Yes,Two,Five or above,Strongly disagree,Strongly disagree
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,NONE,,,TRANSLATED,,NONE,,,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,NONE,ORIGINAL,,,,ORIGINAL,,TRANSLATED,TRANSLATED,,ORIGINAL,ORIGINAL,,,ORIGINAL,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,,,TRANSLATED,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,Associate degree in college (2-year),STEM,,Male,,1996,"Portland, Oregon, USA",Yes,I have never used assistance services when traveling,Five or above,Somewhat agree,Somewhat agree
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,,ORIGINAL,,"[Tourist Assistant Chatbot:] Flagstaff is a city located in Arizona, USA, that receives around 5 million visitors per year. Dear participant, it's important to pay attention to the study. This is an attention check question, please select the 'I don't know' option and ignore the rest of the paragraph. If you are visiting Flagstaff, stop by at the visitor center for more touristic information.",Some college but no degree,STEM,,Female,,2001,"Hartford, Connecticut",Yes,Three,One,Somewhat agree,Agree
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,,,,ORIGINAL,ORIGINAL,NONE,,,NONE,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,ORIGINAL,,TRANSLATED,,,,,,TRANSLATED,ORIGINAL,,TRANSLATED,ORIGINAL,,,I don't know,,ORIGINAL,TRANSLATED,ORIGINAL,,,,ORIGINAL,,ORIGINAL,,,TRANSLATED,,,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Social & Behavioral Sciences,,Female,,1976,"Philadelphia, PA",Yes,,Five or above,Strongly disagree,Strongly disagree
166,ORIGINAL,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,,TRANSLATED,,TRANSLATED,I don't know,,TRANSLATED,,,TRANSLATED,ORIGINAL,,ORIGINAL,,,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,I don't know,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,,,ORIGINAL,ORIGINAL,ORIGINAL,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Social & Behavioral Sciences,,Female,,1981,"Selah, WA",Yes,I have never used assistance services when traveling,Five or above,Somewhat agree,Somewhat agree
167,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,TRANSLATED,,,ORIGINAL,,TRANSLATED,ORIGINAL,TRANSLATED,,,,TRANSLATED,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,TRANSLATED,,I don't know,,ORIGINAL,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,ORIGINAL,TRANSLATED,,TRANSLATED,ORIGINAL,,TRANSLATED,,I don't know,Associate degree in college (2-year),Other:,Criminology ,Female,,1973,"Fresno, Ca",Yes,Five or above,,Neither agree nor disagree,Neither agree nor disagree
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,,,,TRANSLATED,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,,,TRANSLATED,TRANSLATED,,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Arts and Humanities,,Male,,1972,"New York, New York",Yes,One,Two,Strongly disagree,Strongly disagree
169,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,TRANSLATED,,,ORIGINAL,,,ORIGINAL,,TRANSLATED,,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,,,,,TRANSLATED,I don't know,,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,,ORIGINAL,,,ORIGINAL,,,TRANSLATED,ORIGINAL,,ORIGINAL,I don't know,Some college but no degree,Social & Behavioral Sciences,,Male,,1987,"Brooklyn, NY",Yes,Five or above,Five or above,Somewhat agree,Somewhat agree
170,,ORIGINAL,ORIGINAL,,,,NONE,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,NONE,,ORIGINAL,ORIGINAL,TRANSLATED,,,,ORIGINAL,,,ORIGINAL,I don't know,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,,TRANSLATED,,,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),Arts and Humanities,,Female,,1997,Virginia,Maybe,I have never used assistance services when traveling,Two,Somewhat disagree,Agree
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,TRANSLATED,TRANSLATED,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,ORIGINAL,,TRANSLATED,ORIGINAL,,TRANSLATED,TRANSLATED,,TRANSLATED,ORIGINAL,,,TRANSLATED,,I don't know,Master's degree,STEM,,Male,,1987,Houston/Texas,Yes,One,One,Strongly disagree,Strongly disagree
172,ORIGINAL,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,,ORIGINAL,,TRANSLATED,,TRANSLATED,,,TRANSLATED,,I don't know,,,ORIGINAL,ORIGINAL,,,,NONE,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,,,I don't know,,,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,TRANSLATED,,ORIGINAL,,ORIGINAL,TRANSLATED,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Social & Behavioral Sciences,,Female,,1979,"Clermont, FL",Yes,One,Five or above,Somewhat agree,Neither agree nor disagree
173,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,TRANSLATED,,TRANSLATED,,,TRANSLATED,TRANSLATED,TRANSLATED,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,ORIGINAL,,TRANSLATED,TRANSLATED,,,,,ORIGINAL,,ORIGINAL,TRANSLATED,TRANSLATED,,TRANSLATED,I don't know,,TRANSLATED,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,ORIGINAL,TRANSLATED,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Arts and Humanities,,Male,,1991,"Asheville, NC",Yes,I have never used assistance services when traveling,Two,Strongly disagree,Strongly disagree
174,,ORIGINAL,TRANSLATED,,,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,TRANSLATED,TRANSLATED,ORIGINAL,,TRANSLATED,I don't know,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,TRANSLATED,,ORIGINAL,TRANSLATED,I don't know,,ORIGINAL,,TRANSLATED,ORIGINAL,,,,TRANSLATED,,,ORIGINAL,ORIGINAL,,TRANSLATED,TRANSLATED,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),STEM,,Female,,1992,Nashville Tennessee ,Yes,I have never used assistance services when traveling,Two,Agree,Agree
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,TRANSLATED,,,,ORIGINAL,TRANSLATED,,TRANSLATED,TRANSLATED,,,,ORIGINAL,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,,ORIGINAL,,,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,TRANSLATED,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,TRANSLATED,TRANSLATED,,,,,TRANSLATED,ORIGINAL,,ORIGINAL,,ORIGINAL,TRANSLATED,,,I don't know,Some college but no degree,STEM,,Male,,2001,USA,Yes,I have never used assistance services when traveling,Five or above,Agree,Agree
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,,ORIGINAL,,ORIGINAL,,,,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,,,TRANSLATED,,TRANSLATED,ORIGINAL,ORIGINAL,,,TRANSLATED,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),STEM,,Female,,1993,Nevada,Yes,I have never used assistance services when traveling,One,Somewhat agree,Somewhat agree
177,,,,TRANSLATED,,ORIGINAL,TRANSLATED,ORIGINAL,TRANSLATED,,,,TRANSLATED,,TRANSLATED,TRANSLATED,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,TRANSLATED,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,,I don't know,TRANSLATED,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,,,,,ORIGINAL,TRANSLATED,TRANSLATED,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),Other:,none,Male,,1981,"Los Angeles, California United States",Yes,Five or above,Five or above,Agree,Strongly Agree
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,TRANSLATED,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,TRANSLATED,,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,,,ORIGINAL,ORIGINAL,ORIGINAL,,,,TRANSLATED,,ORIGINAL,TRANSLATED,,TRANSLATED,,I don't know,Bachelor's degree in college (4-year),STEM,,Male,,1993,"Kansas City, MO",Yes,Two,Five or above,Somewhat disagree,Somewhat agree
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Social & Behavioral Sciences,,Male,,1997,"California, Sacramento",Yes,I have never used assistance services when traveling,Five or above,Somewhat disagree,Neither agree nor disagree
